utc_time,temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2005-01-01 00:00:00+00:00,17.85,83.36,0.0,0.0,0.0,415.75,3.42,27.0,86110.0
2005-01-01 01:00:00+00:00,17.31,85.18,0.0,0.0,0.0,415.72,3.22,27.0,86110.0
2005-01-01 02:00:00+00:00,16.76,86.99,0.0,0.0,0.0,415.68,3.02,27.0,86110.0
2005-01-01 03:00:00+00:00,16.22,88.81,0.0,0.0,0.0,415.65,2.82,32.0,86110.0
2005-01-01 04:00:00+00:00,15.67,90.63,0.0,0.0,0.0,415.61,2.62,36.0,86110.0
2005-01-01 05:00:00+00:00,15.12,92.44,0.0,0.0,0.0,415.58,2.42,40.0,86110.0
2005-01-01 06:00:00+00:00,14.58,94.26,0.0,0.0,0.0,415.54,2.22,44.0,86073.0
2005-01-01 07:00:00+00:00,14.03,96.07,0.0,0.0,0.0,415.51,2.02,48.0,86036.0
2005-01-01 08:00:00+00:00,14.3,100.0,0.0,0.0,0.0,414.95,2.5,52.0,86000.0
2005-01-01 09:00:00+00:00,14.4,100.0,0.0,0.0,0.0,414.78,2.4,56.0,86017.0
2005-01-01 10:00:00+00:00,14.5,100.0,0.0,0.0,0.0,414.62,2.29,60.0,86034.0
2005-01-01 11:00:00+00:00,14.61,100.0,0.0,0.0,0.0,414.45,2.19,65.0,86051.0
2005-01-01 12:00:00+00:00,15.76,100.0,0.0,0.0,0.0,414.05,2.69,70.0,86107.0
2005-01-01 13:00:00+00:00,16.92,100.0,198.0,530.83,67.0,413.65,3.18,76.0,86164.0
2005-01-01 14:00:00+00:00,18.07,100.0,432.0,740.69,94.0,413.25,3.67,81.0,86220.0
2005-01-01 15:00:00+00:00,18.69,94.79,639.0,839.39,110.0,412.58,3.64,93.0,86178.0
2005-01-01 16:00:00+00:00,19.31,89.57,792.0,888.18,120.0,411.92,3.6,105.0,86135.0
2005-01-01 17:00:00+00:00,19.92,84.36,878.0,910.66,125.0,411.25,3.57,117.0,86093.0
2005-01-01 18:00:00+00:00,19.57,84.63,888.0,911.23,126.0,409.97,3.6,137.0,86034.0
2005-01-01 19:00:00+00:00,19.23,84.91,823.0,892.8,123.0,408.68,3.64,157.0,85974.0
2005-01-01 20:00:00+00:00,18.88,85.18,688.0,850.3,115.0,407.4,3.67,177.0,85915.0
2005-01-01 21:00:00+00:00,18.12,88.97,497.0,769.64,102.0,408.0,3.37,159.0,85940.0
2005-01-01 22:00:00+00:00,17.37,92.76,271.0,613.34,79.0,408.6,3.08,142.0,85966.0
2005-01-01 23:00:00+00:00,16.62,96.55,69.0,183.98,53.0,409.2,2.79,124.0,85991.0
2005-01-02 00:00:00+00:00,16.51,97.7,0.0,0.0,0.0,412.93,2.88,101.0,86031.0
2005-01-02 01:00:00+00:00,16.4,98.85,0.0,0.0,0.0,416.67,2.98,77.0,86070.0
2005-01-02 02:00:00+00:00,16.29,100.0,0.0,0.0,0.0,420.4,3.08,54.0,86110.0
2005-01-02 03:00:00+00:00,15.98,100.0,0.0,0.0,0.0,420.38,3.0,52.0,86099.0
2005-01-02 04:00:00+00:00,15.67,100.0,0.0,0.0,0.0,420.37,2.93,50.0,86087.0
2005-01-02 05:00:00+00:00,15.36,100.0,0.0,0.0,0.0,420.35,2.86,48.0,86076.0
2005-01-02 06:00:00+00:00,15.16,100.0,0.0,0.0,0.0,419.82,2.87,51.0,86034.0
2005-01-02 07:00:00+00:00,14.95,100.0,0.0,0.0,0.0,419.28,2.89,53.0,85991.0
2005-01-02 08:00:00+00:00,14.75,100.0,0.0,0.0,0.0,418.75,2.91,56.0,85949.0
2005-01-02 09:00:00+00:00,14.93,100.0,0.0,0.0,0.0,417.98,2.93,57.0,85966.0
2005-01-02 10:00:00+00:00,15.11,100.0,0.0,0.0,0.0,417.22,2.96,59.0,85983.0
2005-01-02 11:00:00+00:00,15.29,100.0,0.0,0.0,0.0,416.45,2.98,60.0,86000.0
2005-01-02 12:00:00+00:00,16.26,100.0,0.0,0.0,0.0,415.55,3.37,61.0,86062.0
2005-01-02 13:00:00+00:00,17.24,100.0,85.0,8.14,83.0,414.65,3.76,62.0,86124.0
2005-01-02 14:00:00+00:00,18.22,100.0,48.0,0.0,48.0,413.75,4.15,63.0,86186.0
2005-01-02 15:00:00+00:00,18.73,96.52,273.0,30.17,254.0,411.62,4.28,64.0,86141.0
2005-01-02 16:00:00+00:00,19.24,93.04,415.0,67.4,364.0,409.48,4.4,66.0,86096.0
2005-01-02 17:00:00+00:00,19.75,89.56,241.0,13.3,230.0,407.35,4.52,68.0,86051.0
2005-01-02 18:00:00+00:00,19.47,90.02,331.0,21.5,313.0,407.03,4.58,39.0,85988.0
2005-01-02 19:00:00+00:00,19.2,90.48,526.0,146.42,411.0,406.72,4.64,10.0,85926.0
2005-01-02 20:00:00+00:00,18.92,90.94,689.0,849.61,115.0,406.4,4.7,341.0,85864.0
2005-01-02 21:00:00+00:00,18.12,93.96,499.0,770.6,102.0,408.42,4.23,353.0,85886.0
